geneSet	ID	symbol
Neurodegeneration-Related	12874	Cpd
Neurodegeneration-Related	15251	Hif1a
Neurodegeneration-Related	64138	Ctsz
Neurodegeneration-Related	12514	Cd68
Neurodegeneration-Related	13030	Ctsb
Neurodegeneration-Related	14718	Got1
Neurodegeneration-Related	57914	Crlf2
Neurodegeneration-Related	20305	Ccl6
Neurodegeneration-Related	22177	Tyrobp
Neurodegeneration-Related	57266	Cxcl14
Neurodegeneration-Related	20975	Synj2
Neurodegeneration-Related	121021	Cspg4
Neurodegeneration-Related	73822	Mfsd12
Neurodegeneration-Related	16411	Itgax
Neurodegeneration-Related	242341	Atp6v0d2
Neurodegeneration-Related	93695	Gpnmb
Neurodegeneration-Related	232975	Atp1a3
Neurodegeneration-Related	381633	Gm1673
Neurodegeneration-Related	11732	Ank
Neurodegeneration-Related	211612	Ptchd1
Neurodegeneration-Related	241230	St8sia6
Neurodegeneration-Related	54371	Chst2
Neurodegeneration-Related	12862	Cox6a2
Neurodegeneration-Related	18566	Pdcd1
Neurodegeneration-Related	17174	Masp1
Neurodegeneration-Related	74354	Lrguk
Neurodegeneration-Related	20183	Rxrg
Neurodegeneration-Related	71738	Mamdc2
Neurodegeneration-Related	56811	Dkk2
Neurodegeneration-Related	73893	Tmem202
Neurodegeneration-Related	319352	Pianp
Neurodegeneration-Related	112407	Egln3
Neurodegeneration-Related	16948	Lox
Neurodegeneration-Related	75646	Rai14
Neurodegeneration-Related	18557	Cdk18
Neurodegeneration-Related	239849	Cd200r4
Neurodegeneration-Related	242894	Actr3b
Neurodegeneration-Related	11813	Apoc2
Neurodegeneration-Related	380732	Milr1
Neurodegeneration-Related	208618	Etl4
Neurodegeneration-Related	72043	Sulf2
Neurodegeneration-Related	237436	Gas2l3
Neurodegeneration-Related	16956	Lpl
Neurodegeneration-Related	20750	Spp1
Neurodegeneration-Related	13011	Cst7
Neurodegeneration-Related	80752	Fam20c
Neurodegeneration-Related	17085	Ly9
Neurodegeneration-Related	26362	Axl
Neurodegeneration-Related	320024	Nceh1
Neurodegeneration-Related	192657	Ell2
Neurodegeneration-Related	17381	Mmp12
Neurodegeneration-Related	12642	Ch25h
Neurodegeneration-Related	12517	Cd72
Neurodegeneration-Related	19219	Ptger4
Neurodegeneration-Related	19039	Lgals3bp
Neurodegeneration-Related	60533	Cd274
Neurodegeneration-Related	80885	Hcar2
Neurodegeneration-Related	24088	Tlr2
Neurodegeneration-Related	12977	Csf1
Neurodegeneration-Related	16177	Il1r1
Neurodegeneration-Related	11746	Anxa4
Neurodegeneration-Related	16592	Fabp5
Neurodegeneration-Related	72446	Prr5l
Neurodegeneration-Related	117160	Ttyh2
Neurodegeneration-Related	11812	Apoc1
Neurodegeneration-Related	18438	P2rx4
Neurodegeneration-Related	75430	Anapc15
Neurodegeneration-Related	16543	Mdfic
Neurodegeneration-Related	20893	Bhlhe40
Neurodegeneration-Related	70435	Inf2
Neurodegeneration-Related	11565	Adssl1
Neurodegeneration-Related	12332	Capg
Neurodegeneration-Related	26949	Vat1
Neurodegeneration-Related	19165	Psen2
Neurodegeneration-Related	338365	Slc41a2
Neurodegeneration-Related	74202	Fblim1
Neurodegeneration-Related	76438	Rftn1
Neurodegeneration-Related	226421	5430435G22Rik
Neurodegeneration-Related	80782	Klrb1b
Neurodegeneration-Related	74012	Rap2b
Neurodegeneration-Related	76650	Srxn1
Neurodegeneration-Related	13025	Ctla2b
Neurodegeneration-Related	20719	Serpinb6a
Neurodegeneration-Related	140792	Colec12
Neurodegeneration-Related	11816	Apoe
Neurodegeneration-Related	17105	Lyz2
Neurodegeneration-Related	11520	Plin2
Neurodegeneration-Related	11747	Anxa5
Neurodegeneration-Related	16000	Igf1
Neurodegeneration-Related	192678	Rassf3
Neurodegeneration-Related	17918	Myo5a
Neurodegeneration-Related	29815	Bcar3
Neurodegeneration-Related	56644	Clec7a
Neurodegeneration-Related	233781	Xylt1
Neurodegeneration-Related	12767	Cxcr4
Neurodegeneration-Related	16854	Lgals3
Neurodegeneration-Related	14683	Gnas
Neurodegeneration-Related	14991	H2-M3
Neurodegeneration-Related	16768	Lag3
Neurodegeneration-Related	19143	St14
Neurodegeneration-Related	12483	Cd22
Neurodegeneration-Related	233186	Siglec5
Neurodegeneration-Related	101476	Plekha1
Neurodegeneration-Related	12522	Cd83
Neurodegeneration-Related	74645	Fam46c
Neurodegeneration-Related	12286	Cacna1a
Neurodegeneration-Related	16518	Kcnj2
Neurodegeneration-Related	545205	Olfr111
Neurodegeneration-Related	20972	Syngr1
Neurodegeneration-Related	12527	Cd9
Neurodegeneration-Related	20720	Serpine2
Neurodegeneration-Related	17342	Mitf
Neurodegeneration-Related	11787	Apbb2
Neurodegeneration-Related	213556	Plekhh2
Neurodegeneration-Related	11790	Speg
Neurodegeneration-Related	12877	Cpeb1
Neurodegeneration-Related	14788	Gpr162
Neurodegeneration-Related	102294	Cyp4v3
Neurodegeneration-Related	65973	Asph
Neurodegeneration-Related	117590	Asb10
Neurodegeneration-Related	13609	S1pr1
Neurodegeneration-Related	54725	Cadm1
Microglia	53599	Cd164
Microglia	142980	Tlr3
Microglia	270160	Rab39
Microglia	14537	Gcnt1
Microglia	216760	Mfap3
Microglia	65112	Pmepa1
Microglia	13010	Cst3
Microglia	20692	Sparc
Microglia	13051	Cx3cr1
Microglia	105348	Golm1
Microglia	14766	Gpr56
Microglia	20345	Selplg
Microglia	231633	Tmem119
Microglia	237387	Lrrc3
Microglia	58198	Sall1
Microglia	80877	Lrba
Microglia	68526	Gpr155
Microglia	239420	Csmd3
Microglia	329650	Med12l
Microglia	67448	Plxdc2
Microglia	11855	Arhgap5
Microglia	23894	Gtf2h2
Microglia	12774	Ccr5
Microglia	233274	Siglech
Microglia	23890	Gpr34
Microglia	70839	P2ry12
Microglia	74191	P2ry13
